"Why should a web crawler maintain both a `seen` set and a `crawled` set, rather than just a `crawled` set?","To separate *intention* from *completion*. `seen` prevents the queue from exploding with duplicates of URLs we are waiting to process. `crawled` tracks URLs that were *successfully* processed, which is crucial for handling failures, retries, and crash recovery."
"When discovering new links on a page, should the crawler check the `seen` filter *before* or *after* adding the link to the Frontier database?","*Before*. Checking the filter first ensures the NoSQL Frontier database doesn't get clogged with billions of duplicate write operations for URLs that will never be crawled."
"In a distributed crawler, why shouldn't Fetch Workers send the raw downloaded HTML back to the URL Provider Service to be saved?","HTML payloads are huge. Routing them through the central Provider Service turns it into a massive network and CPU bottleneck. Fetch workers should write HTML directly to Blob Storage (e.g., S3) and only send lightweight metadata back to the Provider."
"What is the ""God Service"" anti-pattern in a web crawler?","When a single central service (like the URL Provider) handles too many responsibilities—such as managing state across databases, uploading to S3, and coordinating all workers—causing it to become a single point of failure and a massive performance bottleneck."
"Why do massive web crawlers use a Bloom Filter instead of querying a NoSQL database to check if a URL has been seen?","A crawler discovers exponentially more links than it visits. A NoSQL database would be crushed under the massive volume of read requests. A Bloom Filter lives in fast memory (like Redis) and provides instant O(1) probabilistic membership testing with zero database reads."
"Why must Fetch Workers utilize a local DNS Cache (e.g., via Redis)?","Resolving hostnames to IP addresses is inherently slow. Without a cache, workers would waste massive amounts of time querying external DNS servers for every single page fetched from the same domain."
"What is the purpose of grouping the URL Frontier queue by *domain*?","It enables politeness (rate-limiting). If a domain is on a cooldown timer, the crawler can instantly skip to the next domain's queue to keep workers busy, rather than causing a traffic jam in a single, un-grouped FIFO queue."
"If the URL Provider Service uses a SQL database for the Frontier, why is using a `NOT IN (...)` clause to filter out domains on cooldown a terrible idea?","As the cooldown cache grows, `NOT IN` queries require full table scans or complex index lookups, becoming massively expensive and slowing down the database. Routing should be handled via round-robin or consistent hashing before querying the DB."
"What Redis data structure is perfectly suited for implementing a Priority Queue Frontier, and how does it work?","A Sorted Set (ZSET). It stores unique elements (URLs) mapped to a numeric score (priority), allowing logarithmic time (O(log N)) retrieval of the highest-priority URLs."
"How do you maintain both ""Global Ordering"" (FIFO) and ""Priority"" in a distributed Frontier database?","By using a Hybrid Priority Score. You combine a priority multiplier with an atomic counter or timestamp. Example: Score = (Priority * 10^12) + (Counter)."
"Why are standard hashing algorithms like MD5 or SHA-256 useless for detecting duplicate content in a web crawler?","Standard hashes are ""fragile"" (avalanche effect). Changing a single comma or a timestamp in the HTML changes the entire hash. Crawlers need to detect ""substantially similar"" content, not exact byte-for-byte matches."
"What algorithms do crawlers use for near-duplicate content detection?","Locality Sensitive Hashing (LSH) algorithms, specifically SimHash or MinHash."
"How does a crawler determine if two MinHashes represent duplicate content?","By calculating the Hamming Distance (the number of bits that differ between the two hashes). If the distance is below a certain threshold, the pages are considered near-duplicates."
"What is ""Boilerplate Removal"" in the context of web crawling?","Stripping out navigation bars, footers, sidebars, ads, and timestamps before generating a content hash, ensuring you are only comparing the actual ""core"" content of the page."
"What are three essential steps of ""URL Normalization"" a worker must perform before checking if a newly extracted link has been seen?","1. Convert http:// to https:// (if applicable). 2. Remove trailing slashes (e.g., site.com/ to site.com). 3. Strip tracking parameters (e.g., ?utm_source=twitter)."
"How does a production crawler handle ""recrawling"" updated pages without duplicating data in the Text Search database?","The search database (like ElasticSearch) uses the URL as the Document ID. When a page is recrawled and new HTML is sent to the index, the database automatically upserts (overwrites) the old document associated with that URL ID."
"When should a Fetch Worker check a domain's robots.txt file?","*Before* making the HTTP request to download the HTML payload. The robots.txt rules are usually stored in a fast Redis cache alongside the DNS records."
"What is the ""Consistent Hashing"" approach to task routing in a distributed crawler?","A decentralized routing method where a mathematical formula (e.g., hash(domain) % total_workers) dictates which worker handles which domain. It prevents workers from colliding or querying the database for the same domains."
"If domains are sharded to specific workers via Consistent Hashing, why do we still need a *centralized* Redis Cooldown Cache instead of just using local worker memory?","To handle Node Death and Elastic Scaling. If a worker crashes and its domains are reassigned, the new worker needs the centralized cache to know if the domain is currently locked, preventing accidental DDoS attacks."
"What is the ""Hot Partition"" problem in a sharded web crawler?","When a massively popular domain (like wikipedia.org) is assigned to a single database node/worker, causing that specific node to be overloaded while the rest of the cluster is idle."
"How do engineers solve the ""Hot Partition"" problem for massive domains?","By appending a random salt or bucket number to the domain string before hashing (e.g., wikipedia_1, wikipedia_2). This breaks the domain into smaller, artificially distinct chunks that can be distributed across multiple workers and database nodes."